Time [s], Analyzer Name, Decoded Protocol Result
7.448480375000000,Simple Parallel,'0'
7.448998000000000,Simple Parallel,'0'
7.449515750000000,Simple Parallel,'0'
7.450033375000000,Simple Parallel,'1'
7.450551125000000,Simple Parallel,'0'
7.451068875000000,Simple Parallel,'0'
7.451586750000000,Simple Parallel,'1'
7.452104750000000,Simple Parallel,'0'
7.452622000000000,Simple Parallel,'1'
7.453139750000000,Simple Parallel,'1'
7.453657375000000,Simple Parallel,'0'
7.454175125000000,Simple Parallel,'1'
7.454692750000000,Simple Parallel,'0'
7.455210500000000,Simple Parallel,'1'
7.455728125000000,Simple Parallel,'0'
7.456246250000000,Simple Parallel,'0'
7.456763375000000,Simple Parallel,'0'
7.457281125000000,Simple Parallel,'0'
7.457798750000000,Simple Parallel,'1'
7.458316500000000,Simple Parallel,'0'
7.458834125000000,Simple Parallel,'0'
7.459351875000000,Simple Parallel,'1'
7.459869375000000,Simple Parallel,'1'
7.460387500000000,Simple Parallel,'1'
7.460904750000000,Simple Parallel,'0'
7.461428375000000,Simple Parallel,'0'
7.461940125000000,Simple Parallel,'0'
7.462457750000000,Simple Parallel,'0'
7.462975375000000,Simple Parallel,'1'
7.463493125000000,Simple Parallel,'1'
7.464010750000000,Simple Parallel,'0'
7.464528875000000,Simple Parallel,'1'
9.235559374999999,Simple Parallel,'0'
9.236077125000000,Simple Parallel,'1'
9.236594999999999,Simple Parallel,'0'
9.237112750000000,Simple Parallel,'1'
9.237630500000000,Simple Parallel,'0'
9.238148125000000,Simple Parallel,'0'
9.238665875000001,Simple Parallel,'0'
9.239184000000000,Simple Parallel,'0'
9.239701250000000,Simple Parallel,'0'
9.240219000000000,Simple Parallel,'0'
9.240736750000000,Simple Parallel,'0'
9.241254375000000,Simple Parallel,'0'
9.241772125000001,Simple Parallel,'0'
9.242289749999999,Simple Parallel,'0'
9.242807375000000,Simple Parallel,'1'
9.243325499999999,Simple Parallel,'1'
9.243842875000000,Simple Parallel,'0'
9.244360625000001,Simple Parallel,'0'
9.244878249999999,Simple Parallel,'0'
9.245396000000000,Simple Parallel,'1'
9.245913750000000,Simple Parallel,'0'
9.246431500000000,Simple Parallel,'0'
9.246949125000000,Simple Parallel,'1'
9.247467250000000,Simple Parallel,'0'
9.247984499999999,Simple Parallel,'0'
9.248502374999999,Simple Parallel,'1'
9.249019875000000,Simple Parallel,'1'
9.249537500000001,Simple Parallel,'0'
9.250055250000001,Simple Parallel,'0'
9.250572999999999,Simple Parallel,'1'
9.251090625000000,Simple Parallel,'0'
9.251608875000001,Simple Parallel,'1'
9.252126125000000,Simple Parallel,'0'
9.252651875000000,Simple Parallel,'0'
9.253161499999999,Simple Parallel,'0'
9.253679249999999,Simple Parallel,'0'
9.254196875000000,Simple Parallel,'1'
9.254714625000000,Simple Parallel,'1'
9.255232375000000,Simple Parallel,'0'
9.255750500000000,Simple Parallel,'1'
9.330882250000000,Simple Parallel,'0'
9.331400000000000,Simple Parallel,'1'
9.331917750000001,Simple Parallel,'0'
9.332435500000001,Simple Parallel,'0'
9.332953249999999,Simple Parallel,'0'
9.333470999999999,Simple Parallel,'0'
9.333988625000000,Simple Parallel,'1'
9.334506875000001,Simple Parallel,'0'
9.335024125000000,Simple Parallel,'0'
9.335542000000000,Simple Parallel,'0'
9.336059750000000,Simple Parallel,'0'
9.336577374999999,Simple Parallel,'1'
9.337095124999999,Simple Parallel,'0'
9.337612875000000,Simple Parallel,'0'
9.338130625000000,Simple Parallel,'1'
9.338648875000001,Simple Parallel,'0'
9.339166250000000,Simple Parallel,'1'
9.339684000000000,Simple Parallel,'1'
9.340201750000000,Simple Parallel,'0'
9.340719500000001,Simple Parallel,'0'
9.341237250000001,Simple Parallel,'0'
9.341754999999999,Simple Parallel,'0'
9.342272625000000,Simple Parallel,'0'
9.342790750000001,Simple Parallel,'1'
9.343308000000000,Simple Parallel,'0'
9.343825750000001,Simple Parallel,'0'
9.344343500000001,Simple Parallel,'0'
9.344861249999999,Simple Parallel,'1'
9.345378999999999,Simple Parallel,'0'
9.345896750000000,Simple Parallel,'1'
9.346414500000000,Simple Parallel,'0'
9.346932875000000,Simple Parallel,'1'
9.347450000000000,Simple Parallel,'0'
9.347975750000000,Simple Parallel,'0'
9.348485374999999,Simple Parallel,'0'
9.349003124999999,Simple Parallel,'0'
9.349520875000000,Simple Parallel,'1'
9.350038500000000,Simple Parallel,'1'
9.350556250000000,Simple Parallel,'0'
9.351074375000000,Simple Parallel,'1'
9.430182250000000,Simple Parallel,'0'
9.430700000000000,Simple Parallel,'1'
9.431217750000000,Simple Parallel,'0'
9.431735375000001,Simple Parallel,'0'
9.432253125000001,Simple Parallel,'0'
9.432771000000001,Simple Parallel,'0'
9.433288624999999,Simple Parallel,'0'
9.433807000000000,Simple Parallel,'1'
9.434324250000000,Simple Parallel,'0'
9.434842000000000,Simple Parallel,'0'
9.435361750000000,Simple Parallel,'0'
9.435877625000000,Simple Parallel,'1'
9.436395250000000,Simple Parallel,'0'
9.436913000000001,Simple Parallel,'1'
9.437430750000001,Simple Parallel,'0'
9.437949000000000,Simple Parallel,'1'
9.438466375000001,Simple Parallel,'0'
9.438984124999999,Simple Parallel,'0'
9.439501874999999,Simple Parallel,'0'
9.440019625000000,Simple Parallel,'0'
9.440537375000000,Simple Parallel,'0'
9.441055125000000,Simple Parallel,'1'
9.441572875000000,Simple Parallel,'1'
9.442091124999999,Simple Parallel,'1'
9.442608500000000,Simple Parallel,'0'
9.443126250000001,Simple Parallel,'1'
9.443644000000001,Simple Parallel,'0'
9.444161875000001,Simple Parallel,'1'
9.444679624999999,Simple Parallel,'1'
9.445197500000001,Simple Parallel,'1'
9.445715125000000,Simple Parallel,'0'
9.446233375000000,Simple Parallel,'1'
9.446750625000000,Simple Parallel,'0'
9.447278499999999,Simple Parallel,'0'
9.447786125000000,Simple Parallel,'0'
9.448303749999999,Simple Parallel,'0'
9.448821499999999,Simple Parallel,'1'
9.449339250000000,Simple Parallel,'1'
9.449857000000000,Simple Parallel,'0'
9.450375125000001,Simple Parallel,'1'
11.220450000000000,Simple Parallel,'0'
11.220967750000000,Simple Parallel,'1'
11.221485375000000,Simple Parallel,'0'
11.222003000000001,Simple Parallel,'1'
11.222520749999999,Simple Parallel,'0'
11.223038375000000,Simple Parallel,'0'
11.223556000000000,Simple Parallel,'0'
11.224074125000000,Simple Parallel,'0'
11.224591374999999,Simple Parallel,'0'
11.225109000000000,Simple Parallel,'0'
11.225626625000000,Simple Parallel,'0'
11.226144375000001,Simple Parallel,'0'
11.226661999999999,Simple Parallel,'0'
11.227179625000000,Simple Parallel,'0'
11.227697375000000,Simple Parallel,'1'
11.228215375000000,Simple Parallel,'1'
11.228732624999999,Simple Parallel,'0'
11.229250250000000,Simple Parallel,'0'
11.229767875000000,Simple Parallel,'0'
11.230285500000001,Simple Parallel,'1'
11.230803125000000,Simple Parallel,'0'
11.231320750000000,Simple Parallel,'0'
11.231838249999999,Simple Parallel,'1'
11.232356375000000,Simple Parallel,'0'
11.232873625000000,Simple Parallel,'0'
11.233391125000001,Simple Parallel,'1'
11.233908749999999,Simple Parallel,'1'
11.234426375000000,Simple Parallel,'0'
11.234944000000000,Simple Parallel,'0'
11.235461624999999,Simple Parallel,'1'
11.235979250000000,Simple Parallel,'0'
11.236497375000001,Simple Parallel,'1'
11.237014500000001,Simple Parallel,'0'
11.237538125000000,Simple Parallel,'0'
11.238049875000000,Simple Parallel,'0'
11.238567375000001,Simple Parallel,'0'
11.239085125000001,Simple Parallel,'1'
11.239602750000000,Simple Parallel,'1'
11.240120375000000,Simple Parallel,'0'
11.240638499999999,Simple Parallel,'1'
11.316757500000000,Simple Parallel,'0'
11.317275250000000,Simple Parallel,'1'
11.317793000000000,Simple Parallel,'0'
11.318310625000001,Simple Parallel,'0'
11.318828375000001,Simple Parallel,'0'
11.319346124999999,Simple Parallel,'0'
11.319863750000000,Simple Parallel,'1'
11.320381875000001,Simple Parallel,'0'
11.320899125000000,Simple Parallel,'0'
11.321416875000001,Simple Parallel,'0'
11.321934375000000,Simple Parallel,'0'
11.322452125000000,Simple Parallel,'1'
11.322969875000000,Simple Parallel,'0'
11.323487500000001,Simple Parallel,'0'
11.324005250000001,Simple Parallel,'1'
11.324523375000000,Simple Parallel,'0'
11.325040625000000,Simple Parallel,'1'
11.325558250000000,Simple Parallel,'1'
11.326076000000000,Simple Parallel,'0'
11.326593624999999,Simple Parallel,'0'
11.327111250000000,Simple Parallel,'0'
11.327628875000000,Simple Parallel,'0'
11.328146500000001,Simple Parallel,'0'
11.328664625000000,Simple Parallel,'0'
11.329181875000000,Simple Parallel,'0'
11.329699500000000,Simple Parallel,'0'
11.330217250000000,Simple Parallel,'0'
11.330734874999999,Simple Parallel,'1'
11.331252500000000,Simple Parallel,'0'
11.331770125000000,Simple Parallel,'1'
11.332287875000000,Simple Parallel,'0'
11.332806000000000,Simple Parallel,'0'
11.333323249999999,Simple Parallel,'0'
11.333847000000000,Simple Parallel,'0'
11.334358750000000,Simple Parallel,'0'
11.334876375000000,Simple Parallel,'0'
11.335394125000001,Simple Parallel,'1'
11.335911749999999,Simple Parallel,'1'
11.336429499999999,Simple Parallel,'0'
11.336947625000001,Simple Parallel,'1'
11.416045250000000,Simple Parallel,'0'
11.416563125000000,Simple Parallel,'1'
11.417080625000001,Simple Parallel,'0'
11.417598375000001,Simple Parallel,'0'
11.418116124999999,Simple Parallel,'0'
11.418633874999999,Simple Parallel,'0'
11.419151500000000,Simple Parallel,'0'
11.419669624999999,Simple Parallel,'1'
11.420186875000001,Simple Parallel,'0'
11.420704499999999,Simple Parallel,'0'
11.421222125000000,Simple Parallel,'0'
11.421739875000000,Simple Parallel,'1'
11.422257500000001,Simple Parallel,'0'
